Gem combination list:

Sapphire + Sapphire		= Luck Up
Sapphire + Turquoise	= Mental Shield
Sapphire + Emerald		= Lightning Rune
Sapphire + Topaz		= Aegis Shield
Sapphire + Amber		= Balance Breaker
Sapphire + Ruby			= Sonic Blade
Sapphire + Amethyst		= Magic Barrier Lv1

Turquoise + Sapphire	= Shadow Spell Lv1
Turquoise + Turquoise	= Mirage
Turquoise + Emerald		= Ice Rune
Turquoise + Topaz		= Vengeful Blade Lv1
Turquoise + Amber		= Bloody Blade Lv1
Turquoise + Ruby		= Steadfast Lv1
Turquoise + Amethyst	= Magic Drain Lv1

Emerald + Sapphire		= Dull Pain Amulet
Emerald + Turquoise		= Theriaca
Emerald + Emerald		= Paralysis Attack Lv1
Emerald + Topaz			= Poison Attack Lv1
Emerald + Amber			= Venom Attack Lv1
Emerald + Ruby			= Knockout
Emerald + Amethyst		= Nightmare

Topaz + Sapphire		= Stagger Guard
Topaz + Turquoise		= Knockout Guard
Topaz + Emerald			= Earth Rune
Topaz + Topaz			= Def Up Lv1
Topaz + Amber			= Regeneration
Topaz + Ruby			= ATK Up Lv1
Topaz + Amethyst		= Dispel

Amber + Sapphire		= Attack Range Up Lv1
Amber + Turquoise		= Parry Lv1
Amber + Emerald			= Wind Rune
Amber + Topaz			= Increase Heal Lv1
Amber + Amber			= Chemist's Art Lv1
Amber + Ruby			= Weapon Damage Up Lv1
Amber + Amethyst		= Intelligence Up Lv1

Ruby + Sapphire			= Dispel Attack
Ruby + Turquoise		= Defender
Ruby + Emerald			= Fire Rune
Ruby + Topaz			= Assasin Strike Lv1
Ruby + Amber			= Taunt Lv1
Ruby + Ruby				= Deadly Rune Lv1
Ruby + Amethyst			= Debilitator Lv1

Amethyst + Sapphire		= Magic Range Up Lv1
Amethyst + Turquoise	= Magic Shield Lv1
Amethyst + Emerald		= Holy Rune
Amethyst + Topaz		= Muted
Amethyst + Amber		= Defuse Lv1
Amethyst + Ruby			= Soul Crusher Lv1
Amethyst + Amethyst		= Meditation




















